#,Title,Alert Type,Status,Start,End,Latitude,Longitude,Source,Description,ID
11,🚨⚠️🔫 Situación de riesgo por quema de banco del Bienestar JALISCO,safety,PAST,2026-02-22 21:25,2026-02-23 00:00,21.16688667,-102.4666279,C3ntro,"Banco del Bienestar Jalostotitlán, situación de riesgo debido a quema de instalaciones. ",971ac6b0-5c84-47ea-9b98-dbbb2623da90
12,🚨⚠️🔫 Situación de riesgo por quema de banco del Bienestar JALISCO,safety,PAST,2026-02-22 21:22,2026-02-23 00:00,20.3439052,-102.7651088,C3ntro,"Banco del Bienestar Ooctlan, situación de riesgo debido a quema de instalaciones. 
",3a8d2e35-be84-4fa0-b6fc-801ca29cb643
13,🚨⚠️🔫 Situación de riesgo por quema de banco del Bienestar JALISCO,safety,PAST,2026-02-22 21:21,2026-02-23 00:00,19.88548466,-103.6091773,C3ntro,"Sayula Jalisco Banco del Bienestar, situación de riesgo debido a quema de instalaciones.",2c85791f-0f13-4bb8-9824-186828b03b8b
14,🚨⚠️🔫 Situación de riesgo por quema de banco del Bienestar JALISCO,safety,PAST,2026-02-22 21:18,2026-02-23 00:00,20.80935132,-102.7658503,C3ntro,"Banco del Bienestar Manuel Altamirano en Tepatitlán, situación de riesgo debido a quema de instalaciones. 

#NAB",2d2a4cba-ef1e-4756-b736-64b6f6cda1cf
15,🚨⚠️🔫 Situación de riesgo por quema de banco del Bienestar JALISCO,safety,PAST,2026-02-22 21:16,2026-02-23 00:00,20.53040563,-104.0385747,C3ntro,"Banco del Bienestar Ameca, situación de riesgo debido a quema de instalaciones. 

#NAB",2a193565-c3d7-4b74-b0e4-e8009ee1aaf9
16,"🚨⚠️🔫 Situación de riesgo en Juchipila, Zacatecas.",safety,PAST,2026-02-22 21:04,2026-02-23 00:00,21.40555495,-103.1199518,C3ntro,"situación de riesgo por incendiado el Banco del Bienestar. 

*Ubicación de referencia

#NAB",3a7ebe67-fbce-4583-bb26-af819aab68b3
17,🚨⚠️🔫 Situación de riesgo en MICHOACÁN ,safety,PAST,2026-02-22 23:40,2026-02-23 00:40,19.66543841,-101.2252847,C3ntro,"Se reportó que fue incendiado un vehículo sobre la carretera de salida a Pátzcuaro, Morelia. 

#NAB",23aaf340-e5c1-4092-9774-d915f48311f7
18,🚨⚠️🔫 Situación de riesgo por quema de banco del Bienestar Coacalco,safety,PAST,2026-02-23 01:14,2026-02-23 02:00,19.64437553,-99.08408155,C3ntro,"Queman Banco del Bienestar en Coacalco, Edomex, a un lado del Centro de Atención Canina.",2dce7041-47e5-4b14-922b-3dbdf1f26d91
19,🚨⚠️🔫 Situación de riesgo en JALISCO,safety,PAST,2026-02-22 21:16,2026-02-23 00:18,20.72904576,-105.1599074,C3ntro,"Se informa sobre un enfrentamiento entre fuerzas de seguridad mexicanas y miembros del CJNG en La Desembocada, en las afueras del norte de Puerto Vallarta.
#NAB",db323d1f-3c89-4008-b4e2-f7e76ce82a47
20,🚨⚠️🔫 Situación de riesgo en Acatlipa Temixco,safety,PAST,2026-02-22 22:51,2026-02-23 05:00,18.82835503,-99.22786877,C3ntro,"Acatlipa Temixco, Morelos, situación de riesgo (narcobloqueo con quema de unidades).

*Ubicación de referencia

#NAB",8e1f2776-6c69-4f5f-8b16-bb522f00f839
21,🚨⚠️🚫 Plazas de Cobro cerradas por situación de riesgo.,safety,PAST,2026-02-22 23:17,2026-02-23 05:00,16.9283996,-99.8019166,C3ntro,"Plaza de cobro cerrada debido a incidencias presentadas durante el día:

La Venta, Guerrero.",8a44cf15-d75b-4fb7-9e12-4a178b7f5276
